"Inward Date","Invoice Date","Invoice NO","Inward Qty","Part No","Defective Items","Problem Description","Spares Required","Required Qty","Serial No / Lot No"
"01 May 2026","—","26ZXS042003","200","60.000859A","Side Plate Assembly (2-IBP; 2-TEMP, analog spo2)","SPO2 Waveform Not Coming","Analog Spo2 Module","1","09ZF0000316"
"01 May 2026","—","26ZXS042003","200","60.000859A","Side Plate Assembly (2-IBP; 2-TEMP, analog spo2)","SPO2 Waveform Not Coming","Analog Spo2 Module","1","09ZF0000333"
"01 May 2026","—","26ZXS042003","200","60.000859A","Side Plate Assembly (2-IBP; 2-TEMP, analog spo2)","SPO2 Waveform Not Coming","Analog Spo2 Interface Board","1","NA"
"01 May 2026","—","26ZXS042003","194","60.000841A","Power source assembly frame-TS III","Power Socket Damage","Power Socket Frame","3","NA"
"01 May 2026","—","26ZXS042003","200","60.000857A","Analog Upgradable BM100A Module","NIBP Loose Cuff","Analog Upgradable BM100A Module","1","00ZF0000844"
